front,back
How do they perform gene knockout in the cancer T-Cell challenge at the Broad institute? ,Crispr is used to target and cause a double stranded break in the midst of a gene in the genome. Then they rely on mutations during the repair process to knock out that gene. They are not using Crispr for insertion. 
What is the test animal for measuring T-Cell response to Tumors for the cancer T-cell challenge? ,Mice with Melanoma 
What is one potentially surprising thing about the statistics of gene expression in measured gene expression maps?  What are two reasons it occurs? ,"There are a lot of 0s in the gene expression map. Of something like 20,000 genes, only a small subset are expressed in any active cell, and cause it to have that character
In addition, there are technical problems that lead to mis-detection, and that leads to more 0s than expected on gene expression."
How does single cell RNA sequencing work? ,"Water droplet are tagged with DNA barcodes. 
You inject single cells into droplets and let them acquire the barcodes somehow
Then you separate cells and do sequencing "
What are the major milestones in animal evolutionary development over the past billion years? ,"950 million years ago - common ancestor
650 m years ago - Hox genes
600 m years ago - Chordates
539 m years ago - Cambrian explosion"
In what time period did most animals come into existence? When was this explosion? ,Most animals came around the time of the Cambrian explosion 539 million years ago.
"What key development in animal genetics led to the ability to form many new kinds of multicellular life?
When did it happen? ","Hox genes developed around 650 million years ago, leading to most land based life. They allow organization of the body structure and limbs, etc."
What are some kinds of conceptaul flashcard prompts suggested by Andy Matuschak ,"Here are 5 types, written with the example of describing ""chicken stock"" as the content of the flashcard.
Attributes and tendencies: What makes stock, stock? What’s always, sometimes, and never true of stock?
Similarities and differences: Knowing what stock is requires knowing what relates and distinguishes it from other adjacent concepts.
Parts and wholes: What are some examples of stocks? Are there important “sub-concepts” of stocks? Is “stock” a part of some broader category? Visualize a Venn diagram, even if the edges are fuzzy.
Causes and effects: What does stock do? What causes it to do that? What doesn’t it do? When is it used?
Significance and implications: Why does stock matter? What does it suggest? Make the concept personally meaningful.
My additional interpretation:
Visualize a venn diagram, with sub parts, and with similar nearby ven diagrams side to side. Above that is the ""significance"", and in front of it along another dimension is the cause/effect axis."
What are some broad types of flashcard prompts suggested by Andy Matuschak ,"Facts
Procedural (make you remember a procedure as steps)
Saliency hints (try to get you to recall something by not quite explicitly saying it)
Conceptual questions
My hint: think of these as similar to the types of lists/storage media in python. The facts are a set (unordered). The procedural is like a list. The saliency hints and conceptual questions are like dictionaries? (This last one is a bit loose, but saliency hints are like pointers.) "
What experimental evidence is there to support the programmatic notion of complexity of general intelligence? ,It was demonstrated that rewiring of neurons is possible to achieve visual sight after severing the optic nerve in ferrets. This suggests that the algorithm for learning and development is versatile to develop intelligent behavior. 
What is the evidence against the programmatic complexity notion of the difficulty of artificial general intelligence? ,"Physical specialization may be large: Many subsets of the brain seem specialized and developed and hardwired by evolution. It might be that much more is necessary for human behavior than the difference in genetics from humans to chimps (ie parts of chimps brains might be necessay). 
Societal encoding of structure (so we forgot to include this measure in the complexity): Many human societies have similar language and social structures, which suggest evolutionary optimization. "
What did the paper Camburu 2018 demonstrate about language models?,"They demonstrate adding annotation of intents and agent information to training data for a transformer, and how this helps the model be able to explain itself.
Specifically, the model learns to explain/annotate whether two statements are related by implication, or neutral, or contradictory, for example. "
"What are two possible reasons why language models sometimes fail to correctly predict text, probably through the mechanism of failing to encode the emotions and intent of the agent speaking? ","The training data doesn't include sufficient annotation of the agent type. Solution: add explicit annotation in training data about who an agent is
Limitations of the context window being too short "
What are two examples of metascience entrepeneurs that already exist? ,"The creator of Arxiv, who was a physicist and then transitioned full time to creating arxiv. 
The creators of focused research organizations (FROs). "
"In the Alphacode program, how was a diversity of problem solutions generated from the initial problem statement? (given that the architecture is just a transformer) ","1. Use higher temperature on transformer output
2. Condition on random metadata as a header (like statements of the problem difficulty, and problem tags, like solution methods that might be used)"
"For cancer immunotherapy with checkpoint blockade, what has the average life expectancy of late stage melanoma gone from, between around 2005 and now?","It was around a few months then, to now around 6 years on average."
"For cancer immunotherapy with checkpoint blockade, what is the fraction of patients in early ipilimumab trials that responded? ",around 20%
What was the incentive for the first company to offer credit card rewards? ,"They can capture more customers by offering some incentive, then make more profits, then return that to the customers. 
It doesn't have to be net zero in that case "
How are credit card rewards an example of a zero sum game? ,"If every company offers them, then the entire market doesn't change, the net profits are the same, and the money given out in the rewards must come at the expense of customers who are not gathering rewareds "
What are the two things that differentiate powder based 3D printing from extrusion?,"Gradients of materials is more easy.
Can build more complicated physical structures. "
What are the 4 types of T cell states relevant to cancer immunotherapy?,"Progenitor
Effector (killing)
Dividing
Exhausted (this is the bad one, that we want to minimize). "
What are the two major categories of cancer immunotherapy currently? ,"Car T cell therapy
Checkpoint therapies (that re-establish the ability of the immune system to recognize certain tumor atoms) "
How has the average CD index changed over time? Why might this not matter? ,"It has gone down from around 0.25 to 0.5, down to 0.0. 
This might not matter because the absolute number of highly disruptive papers is still decently large (similar size)."
How has the fraction of highly disruptive papers (CD index above 0.75) in different fields changed over time?,"It is now heavier on the technology and computer fields, and less heavy on the life, physical, and social sciences. "
How has the fraction of highly disruptive papers (CD index above 0.75) changed since 1950?,"It has gone way down. 
However, the absolute number of highly disruptive papers has stayed similar "
What is the CD index for measuring disruptiveness vs consolidation in scientific papers (using citations)? ,"It is basically a ratio of how many future citing papers (future papers are those that cite the paper under question (called the focal paper), or cite papers that were cited by the papers under question) cite only focal, both focal and predecessor, or just predecessor papers. 
Disruptive is only citing focal paper, not predecessors (+1)
Consolidating is both (-1)
If they cite only previous papers, not focal, it is just not important (0) (however, this does drag the overall metric to 0 due to averaging, so that most papers are clustered at 0 unless they are super important)
The final metric is average of all of these over citing papers."
How is the metric of disruptive papers compared to consolidating papers similar to one of Nielsen's ideas about science processes? ,"It is related to Nielsen's idea of researchers either being a problem creator or problem solver. Problem creators would write disruptive papers, while problem solvers would write consolidating papers. "
"In brief, what did the paper ""Park 2023"" show about scientific discovery?","It showed that disruptive papers are becoming less common over time, as measured by a specific metric "
What differentiates powder based 3D printing from extrusion in terms of physical construction?,"You can build more complicated structures because the bed of powder supports the device as it grows. In contrast, with extrusion the device itself must support itself. "
What is one benefit of powder based 3D printing and melting compared to extrusion from a materials science perspective?,"It's potentially easier to dope the composition of the material (like add ceramic dopants by coating 40 micron particles with ceramics, then melting them).
You can do gradients of material somewhat more easily"
"In a 3D metal printer, what is the wavelength of the laser? Does this matter?","1200 nm, and no it does not matter too much. It's just a wavelength that can get high power and has good absorption"
How does a 3D metals printer work?,"Metal powder layer, then lasers melt it locally, then spread more powder, then repeat "
What are the main metrics for how good a material is in  metals material engineering? ,"Tensile strength
Hardness (resistance to scratching)
Corrosion resistance "
What are the two main benefits of atomic quantum gas experiments for understanding physics? ,Isolation and tunability 
What is the concept of implicit search in large language models? ,It is the idea that transformer somehow implement a hidden search algorithm to find concepts buried in their network. 
"For t-sne reconstruction, what is the cost function which is minimized to best reconstruct the distribution of the original datapoints in a lower dimensional space? ","The cost function used is the Kulback Liebler divergence from the new distribution Q to the old distribution P of the similarities between datapoints (P has a gaussian similarity metric based on distance (symmetrized from the measurement of i to j and from j to i), and Q has the t-distributed similarity metric (also symmetrized from i to j and from j to i)) "
Sketch a quick proof of why the Kulback Liebler divergence is always positive. ,"To prove, note that the KL divergence is sum_i p_i (- log (q_i / p_i)).
- log(x) is always greater than or equal to 1 - x. 
Replace the log by this, and then perform the sum, which results in 0. So KL divergence is greater than 0."
"Regardless of the phrasing of the definition of Kulback Liebler divergence:
How should one remember, in the resulting formula, which distribution is included in the term which has the usual Shannon entropy form, and which distribution is only present in the cross entropy term? ","The distribution which you believe to be the ""correct"" one, in some sense, is the one written in the Shannon form. The one you are using instead, is the cross entropy term. Thus the KL divergence measures the surprise you would experience if you expected the non-correct distribution, when the correct one was the real distriubtion. "
"How to remember the phrasing of the definition of Kulback Liebler divergence?
The Kulback Liebler divergence is usually phrased as ""from distribution Q to distribution P"". 
How should one remember, in the resulting formula, which distribution is included in the term which has the usual Shannon entropy form, and which distribution is only present in the cross entropy term? ","The distribution you are comparing ""to"" should be thought of as the ground truth distribution you really believe is correct. Therefore you are measuring the divergence from the other thing, to that ground truth. 
On wikipedia: ""Usually P represents the data, the observations, or a measured probability distribution. Distribution Q represents instead a theory, a model, a description or an approximation of P."" "
"23% of solid waste generated in the US is paper. How much of it is recycled each year?
Of the total waste generated, how much ends up in landfills?","Roughly half of paper products are recycled. 
Roughly half of all waste ends up in landfills. "
"Of solid waste generated in the US each year, how much is paper, food, and plastic? ","23% paper, 20% food, 10% plastic"
How many landfills are there in the united states? ,There are around 2000 landfills.
How does the t-sne reconstruction process intentionally differ from the original measurement of the distribution of points in the high dimensional space? ,"The final setup uses a similarity metric based on distance which is a Laplacian rather than a Gaussian.  (I think this is the t-distribution part of the name of t-sne.)
This is crucial, because it is what allows us to move all the very far away points into closer proximity, and the close points into more even distribution; it moves everything into the middle region. This makes it easier to see everything on one plot.
-----
As a reminder, the overal goal is that it tries to reproduce the nearest neighbor distribution entropy for each point, but it does so with a new probability metric. "
"In t-sne, what is the original measurement that controls the final distribution of points? ","The original measurement is a similarity metric from point i to point j. 
This is the probability that point i would pick point j as it's nearest neighbor based on their relative distance plugged into a Gaussian with some adjusted Gaussian width. 
For each point i, the gaussian width is adjusted so that each point's nearest neighbor distribution has the same entropy distribution as all the other points. "
What does t-sne stand for in machine learning? ,t-distributed stochastic neighbor embedding 
What year was Obamacare passed? ,2010
What are two phenomena and geographical areas in the United States where risk of damage due to climate change exhibits an expanding bulls eye effect? ,"Florida and east coast and people in hurricane path 
West coast and homes in severe wildfire risk areas 
Both are up 7x from 70 years ago until now"
"What is the solution to deal with the large randomness and local minima in strategy in poker (to bet randomly to only lose half the time, rather than more than half), as a reinforcement learning problem? ",Solution: have a solid opponent pool that prevents overfitting to one policy and makes sure to explore the space of actions enough. This is effectively regularization. 
Python file access commands for opening a file and writing to it ,"For writing:
f = open(""hello.txt"", ""a"")  # a stands for append
f.write(""hi"")  # appends to line
f.close()
-----
If you do f = open(""hello.txt"", ""w"") then write will overwrite things. "
What is the practical difference between water soluble and fat soluble vitamins? ,"Water soluble: These have to be replenished often, and are small molecules and simple.
Fat soluble: These can be stored in body long term, and are more complex molecules.
------
Water-soluble vitamins are soluble in water and are not stored in the body to any significant extent. They must be obtained from the diet on a regular basis. Examples of water-soluble vitamins include vitamin C and the B vitamins. These vitamins are typically small molecules with a simple structure.
Fat-soluble vitamins are soluble in fat and are stored in the body's fat tissues and liver. Examples of fat-soluble vitamins include vitamins A, D, E, and K. These vitamins have a more complex structure, and they are typically larger molecules than water-soluble vitamins. "
Major burdens on health: what are a few of the preventable major causes of excess deaths ,"Obesity: 5 million
Air polution: 7 million
Tobacco use: 8 million
(out of around 50 million excess deaths)"
What fraction of energy use by each person (on average) comes from various sources? ,"Coal 30%
Oil 30%
Gas 20%
Nuclear, wind, solar, hydro - remaining 20%"
"The Patient Protection and Affordable Care Act
What two broad categories can the components of the bill be categorized as? ","Expansion of the healthcare system
Requriements on individuals and companies "
"The Patient Protection and Affordable Care Act, also known as Obamacare
Requirements or prohibitions contained in the bill ","Individual mandate for health insurance
Prohibition of insurance companies denying coverage or charging more based on pre-existing conditions
Requiring insurance companies to cover essential health benefits "
"The Patient Protection and Affordable Care Act, also known as Obamacare
Main expansions of the healthcare system ","Healthcare marketplaces for individuals and small businesses
Expansion of Medicaid "
Compare and the costs and benefits of wind and solar to nuclear energy ,"Cost: The upfront cost of building wind and solar facilities is generally lower than the cost of building a nuclear power plant. However, the cost of generating electricity from nuclear energy is often lower than the cost of generating electricity from wind or solar, especially over the long term, due to the higher capacity factor (the amount of electricity a power plant generates compared to its theoretical maximum output) of nuclear plants. Also land use is much higher for wind and solar. 
Reliability: Nuclear power plants have a very high capacity factor and can operate continuously for extended periods of time, making them a reliable source of electricity. In contrast, the output of wind and solar facilities is dependent on weather conditions, which can be variable.
Further concerns:
Environmental impact of nuclear mining and disposal. 
Safety of nuclear plants "
Types of creativity according to Nielsen ,"Problem solver vs problem creator.
A problem solver is someone who is good at solving puzzles, or math, or building devices to accomplish a goal.
A problem creator is someone who thinks deeply about the field and about the problems it is encountering, and the unstated assumptions or gaps in knowledge, and proposes research questions to move the field toward a better understanding. Then problem solvers tackles those research questions.
Problem creators are much more rare, and probably do a more difficult task. "
Eric Reis's book: The lean startup - main ideas ,"Build minimum viable product: goal is to start answering questions as fast as possible and use small batch production to quickly feedback and tune
Tune the engine of growth by measuring the right metrics (not overall growth rate, but  measure improvements to acquisition, retention, etc. Change in slope) "
What was the sequence of events leading to failure of power in texas in 2021 with a large ice storm?,"1. Wind turbine icing prevented wind generation of electricity
2. The natural gas pipeline compressors were electric, and failed because wind power was gone.
3. Utility companies that generated electricity using natural gas were shut down to leave as much natural gas as possible for houses for people to heat their own homes.
4. The cooling pipes in the electricity generation plants of the utility companies froze because they were not running, and were not sufficiently insulated. Then these companies could not turn electricity back on again."
What are the energy generation systems involved in the failure of power in texas in 2021?,"Wind turbines, 
natural gas pipelines, 
electricty generators of utility companies, where were running on natural gas "
"Where was jim Allison's first, second, and third job located? ","Smithville texas, berkeley, then Sloan Kettering in new york. "
What happened to the approval process for cancer drugs at the FDA around 2005 that didn't happen in other areas of disease?,"The FDA decided to identify severely debilitating and life threatening diseases as requiring a different risk benefit analysis, and different approval process.
This led to an over representation of cancer in pharmaceutical investment, because only oncology allowed this cost benefit at the FDA, and other types of treatment did not "
"What does the CTLA-4 receptor do on T cells in the human immune system?
What do tumors do to it?","It is a brake for the immune system when it is engaged. It stops T cells from being so active.
Tumors engage the CTLA-4 receptor to turn off the immune response, and survive better."
What is the hardest thing to do in industry drug development when choosing what to do about a project? ,"The hardest thing as a leader in drug discovery is to not kill the important things, even when they look hopeless. It’s easy to say no and kill things but, then to be left with no spectacular breakthroughs that succeed in the long term "
What are the phases of clinical trials for drug development? ,"1 - this phase tests safety and dosage (involves 15-50 people)
2 - this phase test efficacy for a specific target disease, and side effects (involves less than 100 people)
3 - this phase tests the comparison between the new treatment, and existing therapeutics and drugs on the market (involves hundreds of people, and takes years usually)"
In the book by Eric Reis - The lean startup - what are the different engines of growth? ,"Sticky engine (when it is hard for someone to change away from your product). Drawback is it is hard for the company to tune. The goal of the company is to maximize retention of customers.
Viral engine. This engine relies on the number of other customers that each person infects. The company wants to increase this infection rate. 
Paid customer acquisition. This engine has the company pay to attract more customers. In the long term, this enginer relies on costs of acquisition being less than revenue generated from each customer. "
Eric Reis - The lean startup - key assumptions to be validated for every startup ,"Growth hypothesis
Value hypothesis "
"Texas sequence of events leading to power failure: What was second failure point that could have been prevented, between natural gas pipelines and homes and power generators? ","Major power generators which use natural gas should not have been taken offline.
Or if they were offline, the water cooling pipes should not have been stopped from circulating so that they froze. "
What was Jim allisons first big discovery? ,He found the T cell receptor molecule in the immune system 
What was the change in clinical trial benchmark necessary for the drug ipilimumab to be approved by the FDA? ,"They were going to shut down clinical trials because the benchmark for chemotherapy drugs was a certain amount of tumor size reduction after 12 weeks (around 30 percent). But ipilimumab was a different mechanism than chemotherapy drugs, and they needed to instead do long term survival as the benchmark."
"Texas sequence of events leading to power failure: What was first failure point that could have been prevented, between wind turbines and natural gas pipelines? ","The natural gas pipeline compressors were all electric, and so they failed when electricity failed. Some of these compressors should have been able to be run with other power sources, like natural gas. "
When was the last single common ancester of all animals walking on earth? When did Chordates split off? ,"Single common ancestor around 950 million years ago
Chordates split off 600 million years ago with Echinoderms"
"Applications of machine learning in physics: 
What are some examples of generative models applied to science? ","Generating sampling distributions in quantum field theory
Generate molecular dynamics and states "
Expectation maximization algorithm - how can this be viewed as an optimization of the free energy? ,"Define a modified free energy F_q = minus slightly different log likelihood with q(z) distribution over latent variables z for each observation x, plus the entropy of q(z) for each x. 
You can prove that this modified free energy bounds the true free energy of the model from above, where the true free energy is just the prediction for each datapoint x by taking is probability over z as an intermediate step. 
The expectation maximization algorithm is iteratively updating q(z) for each x, and then optimizing the model parameters theta for fixed q(z) over all x. Then at the end for a new x, you know what q(z) is and you then can predict the observation. "
Expectation maximization algorithm - what is it most similar to among other clustering algorithms? ,K means clustering 
"What modern encryption system is already an example of homomorphic computing?
What future technology might be as well? ","RSA
Quantum homomorphic computing "
"What is a more general word for a system that lets you encrypt the input to a computation, let someone else compute on it while it remains encrypted, then return you the encrypted result? ",Homomorphic computing 
"RSA encryption details: 
What is the order of a multiplicative ring of size p with p prime?
What about a ring mod N with N=p*q and p and q prime? ",p-1 and (p-1)*(q-1) apparently.
"RSA encryption details: 
What is the order of a multiplicative ring? ",A number which collapses the ring upon exponentiation by that number 
"RSA encryption why does it work, in 1 sentence?","The point is someone can know N (the mod) and e (the encryptor) but not know the power required to give unity upon exponentiation, so they can't find d (the decryptor power).  
In short, it's a one way function. "
"RSA encryption: how does it work?
Mechanics of encryption/decryption without proof: ","1. Choose p and q large primes
	2. N=p*q is a large number which is not divisible by most things
	6. If we take any message M and exponentiate it by some known number phi(N) times it will come back to itself (mod N).
	7. Now we choose two integers e and d which are multiplicative inverses mod phi(N), so that if we exponentiate a message M^(e*d), then we know if we take M^(e*d) mod N it must be M, and we're done."
What happens to the determinant of the product of two matrices ,It's the product of determinants. 
Determinant algorithm complexity ,It's n cubed. You add and subtract rows to each other row until it's upper diagonal. Because that doesn't change the determinant it's the same determinant at end and that's the product of diagonals. 
Formula for the inverse of a matrix using the determinant ,"The inverse formula uses the laplace form of the matrix determinant. One needs the determinants of the minors and then places these in the entries of the matrix inverse in a certain way with factors of -1 as well, and divides by the determinant."
What are two formulas to write the determinant of a square matrix? ,"Laplace and Leibniz forms:Leibniz form is product over a_i,sigma_i with a new sigma for each i, and sign of permutation, summed over permutations Laplace form is sum over a_in times minus one to i plus j times determinant of minor "
"Jacob Andreas 2022: ""Language Models as Agent Models""
The example: Training to predict online reviews on Amazon
What did they do to try to test the agent modeling hypothesis in the structure of the network?","There is a specific neuron that encodes sentiment accurately, When training without any knowledge of the review
It accurately predicts review score
You can hold the neuron fixed, and change the sentiment of the output "
"Jacob Andreas 2022: ""Language Models as Agent Models""
The example: Training to predict online reviews on Amazon
Why is this so great of an example?","This is a good example because the goals and beliefs of authors differ wildly, but otherwise content is rather similar "
"Jacob Andreas 2022: ""Language Models as Agent Models""
For the example given: Providing factually irrelevant context about the type of person, what was shown? What was the interpretation?","Result: prompting agent information without any factual relevance can affect accuracy on other factual questions. The example given was ""can coughing cause heart attacks?"" Conditioning on an agent that is a professor and wants to be truthful is better than conditioning on someone who loves alternative medicine. 
Conclusion: the model is inferring the agent beliefs and knowledge 
---------
Bold interpretation is that this implies that the LM has learned to encode truth, but has to be conditioned to give an agent who tells the truth: 
It is possible... “that LMs do distinguish true answers from false ones; and, in a document context indicating that an author’s goal is to inform, could generate truthful answers preferentially.” "
"Jacob Andreas 2022: ""Language Models as Agent Models""
For example of explicit training on a toy model of 3 populations to show internal agent coherence and population decoherence, what are the main outcomes, and interpretation?","Without context, next output is a random sample of the 3 populations 
With conditioning on some beliefs, you find outputs broadly follow the conditioned population behavior 
-------
Interpretation: “[The LM] can infer author identity, and when properly conditioned can imitate individual authors. The LM is not an A-type agent, or an O-type one, but can be straightforwardly made to act like one given the right hidden state.”"
"Jacob Andreas 2022: ""Language Models as Agent Models""
What are the 3 examples given in the paper to show how LMs construct agent models?","Explicit training of a toy model of 3 population
Prompt engineering: professor smith vs someone who loves alternative medicine
Training to predict online reviews on Amazon"
"Jacob Andreas 2022: ""Language Models as Agent Models""
What are possible solutions to improve the agent modeling capabilities of language models","1. Expand the context size input to transformers to not be limited, so that the history of the conversation or words of an agent can be inferred. 
2. Use a scratch pad for encoding information, and feed it to the model along with a new prompt when necessary."
"Jacob Andreas 2022: ""Language Models as Agent Models""
What is the mechanics (training data and training process) by which language models construct agent models?","How this inference of beliefs and conditioning on beliefs selected for during training?
LMs are trained on populations of internally coherent agents, but who don’t necessarily share the same desires and beliefs. 
In order to more accurately predict text, it’s useful to figure out what type of agent you are working with. "
"Jacob Andreas 2022: ""Language Models as Agent Models""
What is the significance of the main claim that language models construct belief representations?","This lens can help predict why something fails, and how to fix it "
"Jacob Andreas 2022: ""Language Models as Agent Models""
What is the main claim?","Main claim is language models are pushed to do two things in order to make accurate predictions (beyond grammar)
Infer the beliefs and desires of an agent in a prompt
Use that inference to predict marginal tokens "
"Vision of metascience by Nielsen and Qiu:
What are specific suggestions for changing the social processes where science is done? ","Grant funding orgs
Fund for variance of outcomes
Fund high risk by having a guaranteed fraction of failures rather than successes as the metric for a grant institution 
Funding individuals
Fund fellowships to change disciplines for scientists, to inject disciplinary liquidity 
Fund stable professorships for under 25 people to encourage them to be bold 
Tenure insurance"
"Vision of metascience by Nielsen and Qiu:
What would success look like? ","Fields, Organizations, and Culture
----
10x the rate of new fields being created
Have garage band research organizations grow to worldwide pre-eminence (indicates some new method works, and is allowed within the system)
Large cultural shifts in what is acceptable for a scientist to do"
"Vision of metascience by Nielsen and Qiu:
What are aspects of the scientific system that can change? ","institutional practices (like funding), 
incentives, 
norms "
"Vision of metascience by Nielsen and Qiu:
What is the main point of the article? ",They argue it is necessary to increase the diversity of social processes where people do science in order to systematically find the most productive methods of figuring things out. 
What is the functional form of the Boltzmann machine loss function as derived from maximization of log likelihood of data ,"Training method: Maximize <log (p_model(x))>_data for x from data.
This turns into -<E_data> - log(Z_model)
Then take derivative to get -dE_data +dE_model.
So during training, to increase the likelihood of the model predicting data, change the model parameters which increase the model energy (evaluated everywhere, including AWAY from the training data), compared to increasing the energy of the data.
This reduces the probability of not-seen data compared to seen data "
What are the two approaches to regularization in ML? ,"1. Add noise to the learning process so that specific solutions aren't overfit. Examples of this are the dropout method and batchnorm method in neural network training. 
2. Penalize the size of parameters used in the model, or the number of parameters used. This can be done using the cost function in gradient descent, for example."
What is the quantum trotterization algorithm for time evolution? ,"It is a mathematical formula that lets you exponentiate a sum of matrices which do not necessarily commute, but exponentiating small fractions of them many times in repetition. This is useful for Hamiltonian time evolution in quantum mechanics, which often requires exponentiating time multiplied by a hamiltonian matrix which has many components that do not commute. "
What is a challenge for neuralink using RL on neuronal output from the brain? ,"It is not stable over time (on the brain side).
Hardware can change or decay too. "
"What is an autogyro, and how is it different from a helicopter? ","Air moves up through blades rather than down.
Isn't powered.
Lift is up and back from the rotating blades, so you need a front propellor for steady state. 
For helicopter, lift and thrust are forward and sufficient to cancel drag from airframe. "
What are examples of multimodal neurons from OpenAI's CLIP model?,"Emotions and faces
Physical regions
People "
What is useful about knowing what neurons are multimodal in a model (openAI microscope and CLIP)? ,"Interpretability of knowledge encoding.
You can see what the model associates together: for example, you can observe what other topics activate the ""donald trump"" neuron, and by how much. This is the association between concepts encoded in the network. "
How did OpenAI identify multimodal neurons ,"Label concepts, then see which neurons activate most strongly when concept is presented in multiple modalities. "
What is a multimodal neuron in a neural net? ,"Something that encodes a concept from multiple modalities.
Example: a spider man neuron that firest for words, drawings, movie shots, etc "
"How is alphacode a realistic attempt to solve the main problems in RL? What does it do that is important. 
Conversely, how is it probably not a big step forward (just more compute, but not a smart new solution)? ","It tries to address complex analytic reasoning with natural language input. 
However, it seems to just be massive sample size and filtering solution, rather than reasoning. 
------------
Comment on 1: Still has all the problems of transformers: doesn't address making the model agentic, or learning over time from few examples with feedback, or memory, or encoding logic.
Comment on 2: it doesn't seem to operate like a human brain does. Massive sampling to succeed isn't efficient encoding of a sample solution. There has to be a better way.  
Seems like success rate scales exponentially badly with problem difficulty."
"What is the scary part of the alpha-code success rate scaling with sample size?
How does this compare to other problems in computer science? ","It scales logarithmically with the number of potential solutions generated. 
But larger models have a better scaling coefficient at least. 
-----
Interpretation: the success rate is a proxy for the hardness of a problem (20% success vs 40% success means roughly 2x harder)
With this interpretation, the AlphaCode success rate scales exponentially badly with the ""hardness"" of the problem."
How does alphacode success compare to basic transformer-based submissions? ,"30% success vs single digits success. 
Main reason: sample filtering.
--------
CAUTION; might just be massive solution sampling? (log scaling with sample number)"
Alphacode what are the two main advancements that allow human-level success? ,"Higher compute (large dataset of codebase problems of similar structure)
Population filtering of samples. "
Alphacode what is the architecture? ,"Transformer to generate sample submissions
Population clustering and selection to generate 10 actual submissions (crucial)"
What is the Lotka volterra model of population dynamics? ,"The growth rate of each species is simply a constant times the population density, but at second order there are also interactions between the growth rate of a single species and the density of other species "
What is the most basic model of how natural environments determine major animal types in a given biome? ,"The prevalence of water and the average temperature determine which plants can live in the biome (ie grasslands have some water and are warm, while tundra has water but is cold, and desert has no water but is warm). Those plants which can exist in a biome determine what types of large animals can exist as well. "
What is persistent contrastive divergence compared to constrastive divergence? ,"As you do overall gradient descent on a Boltzmann machine, you need to resample the gradient w.r.t. parameters in E(x). 
For this, you need to continually re-estimate the average energy of the model.
CD does this with MC estimation.
PCD uses the MC end value of the previous CD iteration in SGD to seed the next MC distribution (and so it will not rely on data, and can diverge further). "
How do we get the expectation value of energy of data for MLE (maximum likelihood estimation) of a boltzmann machine? ,"The energy E(x) is well defined. We just need to sample all its terms (integrate over hidden nodes x = {h,v}).
To do this, write down the terms in the energy, and some of them will couple to the hidden layer activations. 
Then just sample the hidden layer activations given the visible layer values (set by the data). The probability distributions for the hidden nodes are of a simple functional form (if it is a restricted Boltzmann machine), and so doing this sum over the hidden node probability does not require calculating the full partition function. "
What are the steps involved in contrastive divergence? ,"We want to sample the energy of a Boltzmann machine model (on average) for computing a gradient in MLE.
To do so, we start with a real sample in the visible layer, get probability sample of hidden layer, then go back and forth, until we converge to something representative of the model (MC estimate). "
What is constrastive divergence used for? ,"Measuring samples from a Boltzmann machine (which is necessary when doing gradient descent on the Boltzmann machine parameters, like the parameters of its energy distribution, in order to most closely match the generated distribution to some observed data). "
"What does gradient descent look like for energy based models? 
What is the physical intuition in terms of energy? ","Raise the energy of non-data, lower the energy of data.
----------------------
We have a model with some form E(x) for a given data sample at configuration x.
We want to minimize -MLE = -log(model stated probability of data) = <E(x)>_data_x + log(Z)
Derivative of this is d <E>_data/d theta - d <E>_model/d theta. We want this to be negative, so we want to raise the model energy on average, compared to the data energy on average. 
This results in a new boltzmann distribution with real data in the minima, likely to be sampled. "
Why are Boltzmann machines especially powerful in physics applications? when interpreted as energy based models ,"Can encode arbitrary effective interactions 
-----
between visible nodes if the hidden nodes have a complicated distribution function. In the sense that the effective energy of the active layer (integrating out the hidden layer) is described however you want, given the energy of the hidden node vs it's value. You can learn what order of interactions are necessary rather than hard coding it. "
Clean code: what are the rules for a function input and output? ,"Should have 1 or 2 inputs only (use a class if necessary).
Shouldn't alter things in place. Should return an altered object."
"How to simplify input arguments to functions to have one or two arguments, not many? ","Combine objects into natural classes.
----
Example
Circle makeCircle(double x, double y, double radius);
Circle makeCircle(Point center, double radius); "
How to simplify input arguments to functions to prevent forgetting input format? ,"Add hints in function name, of what type of object it is, and order of them "
"What is the wavenet architecture in the wavenet paper, as compared to Bengio 2003 paper which used embedding for predicting the next character?","The wavenet paper adds heirarchy in the network, and starts to approach the transformer type network. It combines bigrams, then combines those, then those. The result is a 3 layer network which compresses 8 characters into one object then reverse embeds. In principle this uses information more efficiently."
Karpathy suggestion for workflow on building deep networks: how to debug it's doing what you want. Also what project did I do this on? ,"Make a small example network with fake input.
Push data through and check shape throughout the process.
Then paste into final implementation. I did this for alpha go zero network "
What are two major problems with existing LLMs like ChatGPT? ,"Hallucination (logic): ""Tell me why X is true"" it won't question if its true. 
Memory (long term): We can't yet build a personalized assistant that has long term memory of information it has told you specifically "
"Avalon architecture main overarching goal, and key design choices to achieve this ","Create environment sufficiently similar to human development, to enable a general agent with cross task learning.
Key ideas:
Fix ground truth reward
Fix mechanics
Only change intermediate structure of challenges "
Avalon architecture: how is the timing of the environment different from most RL tasks like Stratego and Go? ,High speed and continuous environment 
"Why did the avalon architecture ONLY change the structure of intermediate challenges, not the game mechanics or global reward? ","To encourage general learning and cross task learning. 
Sub skills should transfer "
